" Subject: Labour, Employment, Wages and Productivity "
 Topic : Costs 
" Title  : M183591 - Unit Labour Cost Index (2015 = 100), Quarterly "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Index
 Variables , 1980 1Q , 1980 2Q , 1980 3Q , 1980 4Q , 1981 1Q , 1981 2Q , 1981 3Q , 1981 4Q , 1982 1Q , 1982 2Q , 1982 3Q , 1982 4Q , 1983 1Q , 1983 2Q , 1983 3Q , 1983 4Q , 1984 1Q , 1984 2Q , 1984 3Q , 1984 4Q , 1985 1Q , 1985 2Q , 1985 3Q , 1985 4Q , 1986 1Q , 1986 2Q , 1986 3Q , 1986 4Q , 1987 1Q , 1987 2Q , 1987 3Q , 1987 4Q , 1988 1Q , 1988 2Q , 1988 3Q , 1988 4Q , 1989 1Q , 1989 2Q , 1989 3Q , 1989 4Q , 1990 1Q , 1990 2Q , 1990 3Q , 1990 4Q , 1991 1Q , 1991 2Q , 1991 3Q , 1991 4Q , 1992 1Q , 1992 2Q , 1992 3Q , 1992 4Q , 1993 1Q , 1993 2Q , 1993 3Q , 1993 4Q , 1994 1Q , 1994 2Q , 1994 3Q , 1994 4Q , 1995 1Q , 1995 2Q , 1995 3Q , 1995 4Q , 1996 1Q , 1996 2Q , 1996 3Q , 1996 4Q , 1997 1Q , 1997 2Q , 1997 3Q , 1997 4Q , 1998 1Q , 1998 2Q , 1998 3Q , 1998 4Q , 1999 1Q , 1999 2Q , 1999 3Q , 1999 4Q , 2000 1Q , 2000 2Q , 2000 3Q , 2000 4Q , 2001 1Q , 2001 2Q , 2001 3Q , 2001 4Q , 2002 1Q , 2002 2Q , 2002 3Q , 2002 4Q , 2003 1Q , 2003 2Q , 2003 3Q , 2003 4Q , 2004 1Q , 2004 2Q , 2004 3Q , 2004 4Q , 2005 1Q , 2005 2Q , 2005 3Q , 2005 4Q , 2006 1Q , 2006 2Q , 2006 3Q , 2006 4Q , 2007 1Q , 2007 2Q , 2007 3Q , 2007 4Q , 2008 1Q , 2008 2Q , 2008 3Q , 2008 4Q , 2009 1Q , 2009 2Q , 2009 3Q , 2009 4Q , 2010 1Q , 2010 2Q , 2010 3Q , 2010 4Q , 2011 1Q , 2011 2Q , 2011 3Q , 2011 4Q , 2012 1Q , 2012 2Q , 2012 3Q , 2012 4Q , 2013 1Q , 2013 2Q , 2013 3Q , 2013 4Q , 2014 1Q , 2014 2Q , 2014 3Q , 2014 4Q , 2015 1Q , 2015 2Q , 2015 3Q , 2015 4Q , 2016 1Q , 2016 2Q , 2016 3Q , 2016 4Q , 2017 1Q , 2017 2Q , 2017 3Q , 2017 4Q , 2018 1Q , 2018 2Q , 2018 3Q , 2018 4Q , 2019 1Q , 2019 2Q , 2019 3Q , 2019 4Q , 2020 1Q , 2020 2Q ,
 Unit Labour Cost Of Overall Economy , 56.7 , 51.8 , 53.6 , 59.9 , 61.3 , 55.5 , 58.4 , 67 , 68 , 63.8 , 66.7 , 77.9 , 77.3 , 69.6 , 71.9 , 77.2 , 77.1 , 71 , 74.6 , 82.1 , 77.6 , 72.3 , 73.7 , 81.5 , 76.3 , 64.4 , 64.5 , 72.2 , 68.4 , 63.1 , 60.9 , 69.9 , 68.5 , 61.2 , 61.9 , 76.7 , 71.7 , 65.2 , 68.4 , 81.7 , 74.7 , 70.5 , 73.8 , 84.9 , 80.5 , 75.8 , 77.4 , 90.6 , 85 , 79.1 , 79.6 , 91.6 , 85.4 , 78.7 , 79.6 , 92 , 86.1 , 80.4 , 81.1 , 95 , 91.3 , 83.1 , 82.2 , 95.9 , 90.4 , 85.1 , 86.8 , 98.1 , 92.4 , 84.6 , 85.3 , 100 , 98.4 , 90.7 , 90.8 , 99.1 , 91.3 , 82.8 , 82.9 , 96.7 , 92.4 , 83.3 , 84.5 , 99.2 , 96.4 , 88.5 , 93 , 98.9 , 95.1 , 84.2 , 86.9 , 96.6 , 94.1 , 86.2 , 82.4 , 87.9 , 88 , 78.2 , 79.3 , 89.2 , 90.3 , 79.1 , 79.3 , 87.6 , 89.4 , 80.3 , 80.7 , 90.4 , 93.9 , 86.1 , 84.3 , 95.9 , 95.2 , 86.1 , 88.7 , 99.6 , 103.8 , 87.7 , 84.9 , 94.2 , 96.3 , 80.7 , 86.2 , 95.7 , 97.6 , 86 , 85.6 , 95.1 , 98.6 , 87.1 , 89.7 , 98.3 , 101 , 88.5 , 89.3 , 99.7 , 104.3 , 91.3 , 92.9 , 101.5 , 108.2 , 93.8 , 94.2 , 103.7 , 110.2 , 96.2 , 95.9 , 102.9 , 108.5 , 95.6 , 94.2 , 102.9 , 107.7 , 94.8 , 94.9 , 104.8 , 110.4 , 97.9 , 98.3 , 107 , 111.7 , 79.7 ,
     Unit Labour Cost Of Goods Producing Industries , 75.4 , 64.7 , 68 , 76.4 , 83.1 , 70.3 , 76 , 87.9 , 91.7 , 84.3 , 88.6 , 103.8 , 105.8 , 90.5 , 91.5 , 99.9 , 107.1 , 94.9 , 97.8 , 107.4 , 107.2 , 97.1 , 95.3 , 109.2 , 105.3 , 82.5 , 83.9 , 94.1 , 95 , 83.7 , 82.3 , 90.6 , 94.8 , 81.8 , 83.4 , 97.5 , 102.4 , 88.8 , 93.3 , 105.5 , 108.8 , 97.2 , 98.8 , 110.3 , 114.8 , 105.1 , 105.2 , 117.3 , 124.1 , 111.1 , 109.7 , 120 , 123.9 , 108 , 105.5 , 119.5 , 121 , 105.3 , 102.9 , 115.9 , 123.3 , 106.6 , 100.4 , 112.6 , 118.8 , 108.5 , 110.2 , 120.1 , 130.2 , 111.6 , 107.2 , 118.4 , 126.9 , 113.4 , 110 , 114.7 , 112.1 , 96.9 , 91.8 , 105.4 , 107.8 , 92.4 , 88.3 , 100.8 , 112 , 102.4 , 105.9 , 114.2 , 109.6 , 89.5 , 92.2 , 105.5 , 105.1 , 94.3 , 87.7 , 94 , 95.9 , 82.4 , 83.1 , 89.7 , 97.7 , 81.9 , 78.7 , 83.3 , 91.1 , 79.6 , 77.5 , 83.5 , 93.3 , 81.2 , 77.4 , 92.1 , 95 , 92.7 , 91.3 , 105.4 , 113.3 , 84.4 , 76.2 , 94.6 , 92.7 , 67.2 , 76 , 90.2 , 86.9 , 74.7 , 74.9 , 88.3 , 91.7 , 76.8 , 80.9 , 94 , 102.7 , 82.4 , 83.4 , 96 , 102.7 , 86.5 , 87.2 , 102.4 , 110.8 , 91.3 , 91.5 , 106.3 , 110.5 , 91.1 , 91.6 , 99.4 , 102.4 , 86.8 , 80.2 , 95.1 , 96.9 , 80.4 , 78.6 , 93.9 , 97.3 , 83.7 , 80.4 , 96.3 , 91.2 , 58 ,
         Unit Labour Cost Of Manufacturing , 88.4 , 75.4 , 78.4 , 91.6 , 95.3 , 78.2 , 84.1 , 102.4 , 104.7 , 93.3 , 98 , 117.5 , 116.2 , 100.4 , 98.7 , 113.8 , 116.1 , 101.8 , 108.8 , 129.9 , 128.6 , 112.8 , 111.8 , 132.5 , 124.6 , 93.4 , 91.1 , 104.9 , 104.1 , 91.7 , 91.8 , 103.1 , 106.7 , 92.1 , 95.4 , 110.9 , 118 , 100.4 , 104.1 , 118.8 , 126.9 , 111.3 , 112 , 127.2 , 132.6 , 117.5 , 119.3 , 137.3 , 147.5 , 128.4 , 125.7 , 139.9 , 145.6 , 122.7 , 120.7 , 137.8 , 140 , 118.1 , 117.7 , 135.7 , 141.5 , 119.6 , 112.8 , 130 , 134.9 , 120.9 , 123 , 136.3 , 147.6 , 121.7 , 118.2 , 132.9 , 142.5 , 123.8 , 119.5 , 128.8 , 120.6 , 100.8 , 96.9 , 117 , 117 , 97.5 , 94.6 , 112.9 , 127.2 , 115.2 , 121.1 , 132.8 , 125.8 , 98.7 , 102.6 , 121.5 , 119.3 , 106.2 , 97.7 , 107.5 , 108.9 , 91.3 , 93 , 101.3 , 112.5 , 90.6 , 86.9 , 93.1 , 104.4 , 88.3 , 86.2 , 93.4 , 106.8 , 90.2 , 85.6 , 103.9 , 105.3 , 104.5 , 103.1 , 122.1 , 131.2 , 92.5 , 81.9 , 109.6 , 100.8 , 69 , 80.8 , 98.8 , 91.2 , 78 , 77.9 , 94.4 , 95.5 , 78.2 , 82.7 , 98 , 105.6 , 81.1 , 81.7 , 96.2 , 102.8 , 85 , 84.8 , 103.7 , 111 , 90.6 , 89.9 , 108.6 , 108.6 , 88.7 , 88.1 , 97.1 , 98.9 , 83.1 , 75 , 94.6 , 93.7 , 76.2 , 73.7 , 93.5 , 95.2 , 80.5 , 76.2 , 96.3 , 86.8 , 53.9 ,
         Unit Labour Cost Of Construction , 55 , 47.1 , 51.6 , 50.2 , 64.8 , 57.2 , 60.5 , 58 , 65.1 , 61.6 , 62.8 , 67.3 , 75.6 , 62.1 , 64.2 , 63.5 , 75 , 67.4 , 65 , 62.8 , 65.2 , 63 , 59.4 , 64.8 , 67.5 , 57.3 , 67.8 , 72.6 , 78.9 , 69.6 , 68.3 , 72.5 , 80.4 , 69.6 , 68.9 , 77.5 , 83 , 78.8 , 84.7 , 89.5 , 86.6 , 84.7 , 88.3 , 86.3 , 93.9 , 96.5 , 88.4 , 83.9 , 89.6 , 87.8 , 86.7 , 86.6 , 92.4 , 89.3 , 83.1 , 87.9 , 90.9 , 86.9 , 78.1 , 78.9 , 96.1 , 87.6 , 79.7 , 80.2 , 90.4 , 87.2 , 86.9 , 88 , 97.2 , 92.4 , 83.8 , 87.5 , 95.5 , 92.8 , 88.5 , 87.8 , 95.6 , 92.4 , 85.4 , 86.9 , 97 , 90.6 , 81.6 , 82 , 87.4 , 84 , 79 , 84 , 86.4 , 88.6 , 83.3 , 85.2 , 92.3 , 88.3 , 80.6 , 83.2 , 84.9 , 90.4 , 85 , 87.9 , 85.9 , 93.7 , 88.7 , 89.7 , 88.1 , 93.3 , 84.3 , 88.2 , 84.2 , 86 , 81.3 , 84.8 , 91.2 , 81.5 , 75.2 , 78.8 , 84.1 , 74.5 , 69.8 , 69.5 , 84.2 , 74 , 72.9 , 79.3 , 89.3 , 78.7 , 76 , 82.8 , 91.5 , 81.4 , 81.9 , 91.1 , 102.3 , 92.5 , 92.4 , 101.3 , 105.1 , 94.7 , 95.2 , 103.1 , 111.1 , 93.5 , 93.3 , 102.1 , 112.9 , 95.9 , 98.8 , 109.7 , 112.5 , 102.2 , 100.7 , 103.4 , 111.5 , 103 , 101.3 , 105.2 , 108 , 101.3 , 99.8 , 103.1 , 111.3 , 134.4 ,
         Unit Labour Cost Of Utilities , 72 , 67.2 , 71.9 , 93.5 , 72.7 , 68.4 , 77.5 , 104.2 , 82.9 , 80.5 , 88.7 , 132.6 , 89.2 , 80.3 , 92.9 , 109.2 , 83.5 , 79.7 , 98.3 , 115.8 , 91.4 , 86.1 , 101.4 , 113.8 , 88.6 , 74.7 , 72.8 , 94.1 , 73 , 68.4 , 64.1 , 86.8 , 66.9 , 62.1 , 61.7 , 110.9 , 69.2 , 62.4 , 72.7 , 101.3 , 67.9 , 57.1 , 70.5 , 102.7 , 62.2 , 65.6 , 70.5 , 98.8 , 65.1 , 58.2 , 71 , 97.7 , 65.5 , 59.1 , 71.6 , 102.5 , 65.6 , 65.9 , 75.7 , 111.9 , 65.4 , 63.8 , 75.1 , 99 , 68.5 , 57.6 , 64.1 , 90.7 , 75.3 , 59.7 , 63.6 , 90.4 , 71.5 , 51.6 , 68.6 , 70.9 , 62.7 , 64.5 , 67.8 , 79.2 , 74.9 , 68 , 74.5 , 85.7 , 79.4 , 61.5 , 81.5 , 85.6 , 71 , 51.9 , 76.4 , 89.9 , 87.1 , 67.8 , 80.8 , 73.7 , 86.5 , 60.9 , 65.2 , 85.6 , 73.9 , 60.1 , 66.2 , 75.4 , 64.5 , 61.6 , 66.2 , 76.2 , 79.1 , 70.5 , 70.5 , 77.8 , 95.7 , 70.9 , 76.9 , 74.9 , 89.8 , 65.1 , 65.9 , 74.7 , 81.3 , 65.4 , 71.1 , 85.1 , 91.1 , 66.2 , 72.5 , 79.4 , 86.9 , 73 , 78.5 , 88.5 , 97.9 , 83.3 , 81.7 , 98 , 113 , 84 , 84.3 , 100.5 , 121.1 , 89.1 , 94.1 , 95.6 , 117.9 , 90.9 , 91.9 , 101.1 , 115.8 , 95.6 , 96 , 109 , 126.3 , 96.1 , 100.5 , 113.3 , 126.8 , 99.7 , 100 , 116.1 , 124.9 , 91.1 ,
         Unit Labour Cost Of Other Goods Industries * , 33.8 , 30.4 , 31.7 , 31 , 36.6 , 35 , 37.9 , 41.4 , 50.2 , 49.2 , 50.6 , 58.2 , 59.8 , 56.7 , 61.3 , 66 , 68.3 , 59.5 , 60.9 , 63.1 , 64.5 , 63.3 , 63.9 , 68.7 , 61.2 , 50.4 , 47.9 , 51.5 , 54.4 , 49.5 , 44.1 , 48.6 , 52.3 , 45.2 , 45.3 , 52.2 , 54.2 , 55 , 50.3 , 53.9 , 50.3 , 49.3 , 47.5 , 50.4 , 52.2 , 48.5 , 45.2 , 52.6 , 49.4 , 63.7 , 57.3 , 69.1 , 58.5 , 57 , 52.2 , 70.2 , 58.9 , 62.4 , 59.3 , 74.5 , 69 , 66.3 , 60.8 , 71.4 , 67.2 , 68.7 , 66.7 , 71.4 , 72.8 , 65.8 , 67.6 , 77.1 , 73.7 , 75.9 , 74.2 , 78.4 , 76 , 69.8 , 64.3 , 77.5 , 68.6 , 69.7 , 59.8 , 82.7 , 78 , 81.6 , 79.7 , 73.3 , 83.2 , 85.4 , 89.6 , 97.9 , 96.3 , 92.8 , 85 , 91.3 , 98.6 , 97.1 , 81.7 , 93.8 , 85.3 , 90 , 88.3 , 96.3 , 87.5 , 84.8 , 89.4 , 86.3 , 87.7 , 91.7 , 93.8 , 97.4 , 97.8 , 97.4 , 102.1 , 109.5 , 98.8 , 102 , 98.6 , 90.3 , 101.7 , 90.3 , 93.6 , 113.6 , 97.1 , 95.1 , 101.1 , 104.6 , 103.3 , 93.6 , 93.9 , 104.3 , 100.6 , 91.5 , 87.8 , 101 , 93 , 95.1 , 90.2 , 108.2 , 102 , 99.4 , 92.5 , 106.2 , 103.9 , 96.8 , 103 , 106.5 , 113.6 , 109.1 , 93.5 , 116.2 , 125.9 , 110.7 , 102.7 , 111.8 , 125.7 , 112.2 , 96.3 , 112.6 , 124.5 , 68.7 ,
     Unit Labour Cost Of Services Producing Industries , 51.5 , 48.8 , 49.8 , 55.5 , 55.3 , 52.1 , 53.9 , 61.4 , 61.2 , 58.1 , 60.5 , 70.6 , 69.7 , 64.5 , 67.5 , 71.8 , 69.2 , 65.3 , 69.7 , 76.8 , 70.6 , 66.8 , 69.7 , 76 , 70.3 , 61.7 , 61.2 , 68.4 , 62.7 , 59.2 , 56.5 , 66.2 , 62.8 , 57.1 , 57.4 , 73.3 , 64.6 , 60 , 62.8 , 77.4 , 66.1 , 64.2 , 68.2 , 79.7 , 71.9 , 68.6 , 70.7 , 84.8 , 74.8 , 70.8 , 71.9 , 84.8 , 75.1 , 71 , 73.1 , 85.2 , 76.5 , 74.2 , 76 , 90.6 , 83 , 77.3 , 78.1 , 92.9 , 83 , 79.2 , 80.9 , 92.9 , 81.6 , 76.9 , 79.4 , 96.1 , 91.5 , 85.5 , 87.1 , 97 , 87.2 , 80.5 , 82.8 , 97.3 , 90.2 , 83 , 86.5 , 102.9 , 94 , 86 , 91 , 96.4 , 92.8 , 85 , 87.4 , 95.9 , 92.6 , 85.4 , 82.1 , 87.4 , 86.9 , 78.1 , 79.3 , 90.9 , 88.7 , 79.1 , 80.8 , 91.3 , 90 , 81.6 , 83.1 , 94.8 , 95 , 88.3 , 87.8 , 97.9 , 96.1 , 84.2 , 88.3 , 98.4 , 101.4 , 89.2 , 88.5 , 94.3 , 98.3 , 86.9 , 90.1 , 97.7 , 102.2 , 90.4 , 89.5 , 97.9 , 101.6 , 91 , 93.2 , 100.1 , 100.7 , 90.6 , 91.4 , 101.1 , 105.2 , 92.9 , 94.9 , 101.2 , 107.6 , 94.5 , 95 , 102.9 , 110.3 , 97.9 , 97.2 , 104.1 , 110.6 , 98.5 , 98.9 , 105.4 , 111.3 , 99.6 , 100.4 , 108.6 , 114.9 , 102.6 , 104.3 , 110.6 , 119.6 , 87.7 ,
         Unit Labour Cost Of Wholesale & Retail Trade , 74.5 , 68.4 , 68.3 , 74.6 , 88 , 81.3 , 83.3 , 92.6 , 103 , 97.6 , 97.2 , 105.5 , 119.2 , 109.8 , 105.4 , 106.2 , 114.2 , 106.8 , 103 , 105.8 , 119.7 , 112.8 , 112.3 , 116.5 , 124 , 96.2 , 95.9 , 98.9 , 115 , 92.6 , 89.7 , 95.5 , 110.9 , 90.1 , 87.2 , 97 , 116.2 , 93.2 , 93.2 , 111.7 , 114.7 , 106.6 , 112.5 , 123 , 126.7 , 116.1 , 114.2 , 131.9 , 151.6 , 138.5 , 135.9 , 148.9 , 140.6 , 131.9 , 129.4 , 138.5 , 143.5 , 127.6 , 123.3 , 131.4 , 139.7 , 125.5 , 120.2 , 133.1 , 146.9 , 134 , 128.8 , 138 , 142.3 , 124.7 , 122 , 149.9 , 160.8 , 143.5 , 141.2 , 149.1 , 149.8 , 121.1 , 117.3 , 131.1 , 134.4 , 113.6 , 108 , 129.6 , 135.1 , 122.6 , 120.9 , 136.3 , 139.6 , 120.6 , 112.4 , 128.8 , 132.8 , 113.9 , 104.7 , 112 , 109.3 , 94.8 , 90.8 , 102.1 , 106.3 , 91.4 , 89.9 , 106.2 , 103 , 92.3 , 91.2 , 108.1 , 110.7 , 97.8 , 97.6 , 118 , 112.5 , 98.3 , 99.7 , 125.4 , 121.5 , 102.4 , 98.3 , 112.6 , 109 , 91.8 , 92.1 , 107.8 , 110.4 , 94 , 91.7 , 108.9 , 110.6 , 89.3 , 91.4 , 104.1 , 103.9 , 89.9 , 91.3 , 103.4 , 107.1 , 90.9 , 92.4 , 103.3 , 110 , 92.3 , 91.9 , 105.8 , 117.9 , 99.4 , 94.1 , 103.5 , 114.3 , 101 , 98.8 , 105.9 , 115.6 , 99.2 , 97.4 , 111.5 , 123.3 , 105.9 , 104 , 116.6 , 129 , 76.4 ,
         Unit Labour Cost Of Transportation & Storage , 62.5 , 57.1 , 57.8 , 60.8 , 63.2 , 57.1 , 58.4 , 61.9 , 63.2 , 59 , 62.5 , 70.8 , 69 , 64 , 65.6 , 65 , 63.6 , 55.7 , 58.3 , 62.3 , 63.8 , 59.8 , 63.8 , 61.7 , 62.4 , 53.8 , 53.3 , 58.2 , 60.7 , 59.6 , 54.5 , 57.7 , 59.9 , 53.8 , 55.1 , 61.7 , 62.6 , 61.3 , 63.1 , 73.2 , 67.2 , 63 , 68.8 , 71.8 , 74.1 , 72.2 , 69.8 , 81.7 , 75.1 , 70.7 , 72 , 78.2 , 77.1 , 71.2 , 71.8 , 82.3 , 82.1 , 78.1 , 79.3 , 85.3 , 86 , 80.6 , 83.4 , 88.7 , 86.8 , 78.7 , 79.7 , 89.4 , 83 , 79.2 , 79 , 93.1 , 87.8 , 80.5 , 80.3 , 89.4 , 79.6 , 73.8 , 76.9 , 82.7 , 83.3 , 76.6 , 80.9 , 86.5 , 85.3 , 76.6 , 79.7 , 76.9 , 80.7 , 72.8 , 75.8 , 86.8 , 85.1 , 84.6 , 77.6 , 79.2 , 78 , 70.4 , 69.4 , 83.6 , 78.1 , 73.2 , 74.6 , 79.1 , 84.6 , 72.3 , 75.1 , 79.5 , 83.1 , 72.5 , 79 , 76.4 , 76.3 , 65.6 , 77.4 , 85.3 , 92.7 , 80.2 , 81.9 , 86.7 , 89.8 , 80.3 , 82.6 , 92.6 , 91.9 , 78.7 , 84.6 , 95 , 91.4 , 85.8 , 85.6 , 98.9 , 97.4 , 86.8 , 86.1 , 99.9 , 99.6 , 93 , 92.7 , 106.1 , 102 , 94.8 , 92.8 , 110.3 , 108.5 , 98.4 , 97.6 , 110.1 , 106.3 , 97.4 , 96.5 , 107.3 , 110 , 104 , 100.5 , 112.7 , 112.9 , 104.7 , 104.1 , 116 , 121.7 , 103.3 ,
