Macrotrends Data Download

Singapore Consumer Spending 1960-2020


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, Spending, Per Capita, Growth Rate
date, Billions of US $, Per Capita, Annual % Change
1960-12-31,0.6302430419443,2823.2216
1961-12-31,0.6915915327323,2991.4114,9.5614
1962-12-31,0.7202077616621,3022.4977,3.8762
1963-12-31,0.7634261074089,3085.0181,4.6812
1964-12-31,0.734711877695,2860.0302,-4.8862
1965-12-31,0.7684568143212,2900.6259,3.9141
1966-12-31,0.8395400496537,3030.3439,7.102
1967-12-31,0.937181497452,3232.4772,9.0525
1968-12-31,1.0445576897949,3496.4074,10.0465
1969-12-31,1.1308310466484,3731.1503,8.3315
1970-12-31,1.2895596498105,4136.7111,12.607
1971-12-31,1.4910165947994,4542.153,11.8332
1972-12-31,1.675418756351,4866.3178,9.1397
1973-12-31,2.2753777777778,5164.1836,8.1227
1974-12-31,3.157605599414,5429.3719,6.8994
1975-12-31,3.3847100824818,5522.9337,3.2196
1976-12-31,3.6838864757728,5736.1601,5.27
1977-12-31,3.7992148292051,5952.7136,5.2233
1978-12-31,4.2093547593671,6267.2353,6.565
1979-12-31,5.0272207563764,6599.3657,6.6372
1980-12-31,6.0074496459119,6884.4882,5.653
1981-12-31,6.7932467775079,6879.6501,4.8514
1982-12-31,7.3576466133384,6849.1998,4.0238
1983-12-31,7.7748130841122,7145.4197,5.6886
1984-12-31,8.5982489351633,7421.4844,5.8454
1985-12-31,8.5729689184755,7405.6291,-0.0772
1986-12-31,8.6578791873097,7704.0441,3.9313
1987-12-31,9.8592357857996,8364.7653,10.2214
1988-12-31,11.788129154796,9086.5959,11.4215
1989-12-31,13.961290001988,9555.7793,8.2966
1990-12-31,16.113110803466,9870.8999,7.3942
1991-12-31,19.660376266281,10181.9299,6.1283
1992-12-31,22.587538367096,10462.9352,5.8939
1993-12-31,26.436935264265,11400.7947,11.7554
1994-12-31,31.663807777923,11855.0738,7.2979
1995-12-31,35.887258360378,11944.4994,3.862
1996-12-31,38.924397163121,12223.3137,6.5791
1997-12-31,39.829539331897,12498.4234,5.742
1998-12-31,33.821880975143,11847.6925,-1.9308
1999-12-31,36.152979351032,12888.342,9.6564
2000-12-31,40.212180974478,14387.7585,13.5843
2001-12-31,41.525646034492,15134.5557,8.0665
2002-12-31,42.736233664693,15514.2576,3.4487
2003-12-31,44.46320743887,15946.7474,1.2832
2004-12-31,48.313099041534,16575.9493,5.2551
2005-12-31,50.928622927181,16854.0385,4.0959
2006-12-31,56.637233306061,17051.0687,4.3851
2007-12-31,66.525048105633,17501.0082,7.005
2008-12-31,77.349777369425,17303.6432,4.2763
2009-12-31,75.919216225507,16743.2682,-0.2757
2010-12-31,87.141547488082,17164.8902,4.3508
2011-12-31,102.28613452059,17476.5427,3.9607
2012-12-31,110.08538049132,17687.9423,3.7234
2013-12-31,114.82889794614,17893.7957,2.8153
2014-12-31,118.33485912714,18299.6933,3.6049
2015-12-31,114.44842886238,19015.2525,5.1503
2016-12-31,116.24183858125,19371.1854,3.2022
2017-12-31,120.62734448548,19944.251,3.0496
2018-12-31,129.79648576512,20685.2803,4.2038
2019-12-31,133.92874945023,21214.0219,3.7364
