Quarter,hdbrpi,labour-cost,gdp,population,cpi,exchange-rate,consumer-spending,overall unemployment,sti
 1990 1Q ,24.3,74.7,"16,669.50","2,647,627",61.907,1.8843,16.1131108,31600,1458.4
 1990 2Q ,24.4,70.5,"17,087.70","2,677,041",62.501,1.8396,16.99992717,31600,1527
 1990 3Q ,25,73.8,"17,930.10","2,706,454",63.181,1.7632,17.88674353,31600,1098.7
 1990 4Q ,24.7,84.9,"18,805","2,735,868",63.969,1.7445,18.7735599,31600,1154.8
 1991 1Q ,24.9,80.5,"18,521","2,750,577",64.249,1.7931,19.66037627,31600,1490.8
 1991 2Q ,25.5,75.8,"19,058.10","2,765,286",64.943,1.7655,20.39216679,31600,1489.9
 1991 3Q ,25.2,77.4,"20,151.60","2,779,995",65.153,1.6895,21.12395732,31600,1360.6
 1991 4Q ,25.1,90.6,"20,812.10","2,794,704",65.808,1.6305,21.85574784,31600,1477
 1992 1Q ,25.8,85,"19,958.90","2,808,467",65.603,1.6605,22.58753837,31600,1414.3
 1992 2Q ,27.4,79.1,"20,381.90","2,822,229",66.365,1.6173,23.54988759,31100,1481.1
 1992 3Q ,28,79.6,"21,674.30","2,835,992",66.577,1.5923,24.51223682,34900,1351
 1992 4Q ,28.6,91.6,"22,905.10","2,849,754",66.986,1.6449,25.47458604,28400,1524.4
 1993 1Q ,30.2,85.4,"22,554.20","2,863,452",67.348,1.6406,26.43693526,26300,1668.3
 1993 2Q ,39.6,78.7,"23,633.70","2,877,151",67.756,1.6233,27.74365339,31200,1802.8
 1993 3Q ,47.7,79.6,"24,980.30","2,890,849",68.008,1.5877,29.05037152,32900,2009
 1993 4Q ,49,92,"26,754.90","2,904,547",68.697,1.608,30.35708965,29700,2425.7
 1994 1Q ,50.4,86.1,"26,288.30","2,918,248",68.922,1.5692,31.66380778,30700,2080.9
 1994 2Q ,51.7,80.4,"26,949","2,931,949",70.124,1.5241,32.71967042,30900,2224.9
 1994 3Q ,54.6,81.1,"29,045","2,945,649",70.376,1.4838,33.77553307,33300,2332.6
 1994 4Q ,54.8,95,"30,273.10","2,959,350",70.672,1.4607,34.83139571,34000,2239.6
 1995 1Q ,57.3,91.3,"28,926.80","2,972,891",70.681,1.4191,35.88725836,32100,2093.1
 1995 2Q ,63.9,83.1,"30,105.40","2,986,433",71.401,1.3965,36.64654306,35600,2093.2
 1995 3Q ,67.7,82.2,"32,070.80","2,999,974",71.312,1.4205,37.40582776,31300,2120
 1995 4Q ,73.7,95.9,"33,360.30","3,013,515",71.267,1.4143,38.16511246,33100,2266.5
 1996 1Q ,80.5,90.4,"32,774.30","3,027,169",71.735,1.408,38.92439716,36300,2387.300049
 1996 2Q ,90.9,85.1,"33,179","3,040,824",72.228,1.4099,39.15068271,36800,2296.199951
 1996 3Q ,96.4,86.8,"33,910.50","3,054,478",72.364,1.408,39.37696825,30300,2177.199951
 1996 4Q ,99,98.1,"35,913.40","3,068,132",72.692,1.3998,39.60325379,31700,2216.800049
 1997 1Q ,98.6,92.4,"34,790.50","3,081,950",72.859,1.4451,39.82953933,29700,2073
 1997 2Q ,97.5,84.6,"36,840.40","3,095,768",73.474,1.43,38.32762474,30600,1988
 1997 3Q ,93.6,85.3,"38,251.60","3,109,585",74.168,1.5295,36.82571015,29200,1954.699951
 1997 4Q ,88,100,"38,781.90","3,123,403",74.181,1.6755,35.32379556,33500,1529.800049
 1998 1Q ,81.7,98.4,"35,996.40","3,137,557",73.524,1.606,33.82188098,37100,1629.199951
 1998 2Q ,78.3,90.7,"35,854.70","3,151,711",73.333,1.7068,34.40465557,41300,1066.660034
 1998 3Q ,74.9,90.8,"35,884.40","3,165,864",73.231,1.685,34.98743016,72400,939.650024
 1998 4Q ,72.3,99.1,"35,739.40","3,180,018",73.121,1.6605,35.57020476,73900,1392.72998
 1999 1Q ,71.2,91.3,"33,909.90","3,192,434",73.142,1.7322,36.15297935,68400,1518.310059
 1999 2Q ,72.2,82.8,"36,198.80","3,204,850",73.426,1.7013,37.16777976,61700,2167.699951
 1999 3Q ,78.1,82.9,"37,466.30","3,217,265",73.546,1.7026,38.18258016,65800,2021.930054
 1999 4Q ,79.8,96.7,"38,677.50","3,229,681",73.616,1.666,39.19738057,53600,2479.580078
 2000 1Q ,80.3,92.4,"38,264.80","3,240,602",74.039,1.7189,40.21218097,61500,2132.590088
 2000 2Q ,79.3,83.3,"40,050.20","3,251,522",73.999,1.7294,40.54054724,77500,2037.969971
 2000 3Q ,77.6,84.5,"42,949.80","3,262,443",74.787,1.741,40.8689135,45500,1997.030029
 2000 4Q ,75.8,99.2,"44,367.60","3,273,363",75.135,1.7315,41.19727977,51700,1926.829956
 2001 1Q ,73.2,96.4,"41,459.40","3,286,498",75.404,1.8005,41.52564603,44000,1674.189941
 2001 2Q ,72.1,88.5,"40,180.20","3,299,633",74.894,1.8207,41.82829294,51000,1726.5
